age,male,edu,time_served,charges,n_theft,n_sex_abuse
57,1,12,0,1,10,0
23,1,11,0,1,0,0
64,1,12,0,0,5,0
21,1,11,0,0,0,0
53,1,12,0,0,0,0
42,1,12,0,0,3,0
39,1,12,1,1,0,0
31,1,10,0,1,2,0
24,1,12,0,1,0,0
38,1,14,0,0,0,0
29,1,10,0,1,0,0
22,1,10,0,1,1,0
23,1,11,0,1,7,0
25,1,9,0,0,5,0
51,1,12,0,0,0,0
31,1,12,0,0,1,0
36,1,12,0,1,0,0
52,1,12,0,1,0,0
39,1,9,0,1,0,0
25,1,9,0,0,0,0
33,1,9,0,1,5,5
27,1,9,0,0,2,0
21,1,9,0,1,5,0
40,1,9,0,1,0,0
43,1,9,0,1,3,0
27,1,10,1,1,4,0
52,1,12,0,0,2,0
29,1,8,0,0,2,0
30,1,9,0,1,0,0
41,1,12,1,1,1,0
56,1,12,0,0,2,0
22,1,12,0,1,0,0
34,1,17,0,0,0,0
31,1,12,0,1,0,0
36,1,9,0,0,0,0
29,1,10,0,0,5,0
46,1,15,0,0,15,0
38,1,12,0,1,0,0
27,1,10,0,1,0,0
26,1,9,1,0,2,0
30,1,10,0,1,0,0
33,1,10,0,1,3,0
47,1,12,0,0,0,0
60,1,12,0,0,0,0
58,1,17,0,1,0,0
53,0,6,1,0,0,0
44,1,11,1,0,0,0
54,1,15,0,1,4,0
35,1,10,0,1,2,0
35,1,12,0,1,3,0
47,1,12,0,1,40,0
32,1,11,0,1,0,0
24,1,11,1,0,1,0
23,1,12,0,1,0,0
42,1,11,0,0,0,0
21,1,10,0,1,2,0
53,1,4,0,1,0,0
54,1,12,0,1,0,0
37,1,10,0,1,2,0
40,0,10,0,0,0,0
29,1,11,0,0,5,0
64,1,9,1,1,0,0
26,1,12,0,1,0,0
51,1,17,0,0,0,0
23,1,12,0,1,1,0
38,1,12,0,1,10,0
38,1,12,0,1,3,0
24,1,9,0,0,2,0
49,1,8,0,0,0,0
27,1,9,0,1,2,0
31,1,10,1,1,0,0
34,1,12,0,1,5,0
52,1,12,1,0,3,0
40,1,16,0,1,1,0
42,1,10,0,1,4,0
37,1,12,0,1,0,0
20,1,12,0,1,1,0
20,1,12,0,1,5,0
44,1,12,0,0,20,0
37,1,12,1,1,0,0
24,1,10,0,1,3,0
25,1,12,0,1,0,0
29,1,12,0,1,0,0
30,1,12,0,0,0,0
21,1,12,0,1,30,0
54,1,15,0,0,3,0
43,1,17,0,0,1,0
39,1,14,0,1,0,0
51,1,10,0,0,0,0
47,1,12,0,1,3,0
48,1,11,0,0,5,0
51,1,12,0,1,4,0
69,1,10,0,1,0,0
23,1,15,0,1,0,0
29,1,12,0,1,3,0
40,1,12,0,1,0,0
25,1,12,0,1,0,0
33,1,12,0,1,0,0
66,1,4,0,0,0,0
62,1,12,0,1,0,0
38,1,10,0,1,0,0
32,1,12,0,1,0,0
33,1,10,0,0,0,0
23,1,12,0,1,0,0
25,1,12,0,1,0,0
32,1,11,0,1,0,0
36,1,10,0,1,0,0
24,1,12,0,1,0,0
56,1,9,1,0,2,0
33,1,10,0,1,8,0
30,1,12,0,0,0,0
29,1,11,0,0,0,0
